CLUSTERID1	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	EdgeAnnotation
79	189	136.018	79	0.7888	79.0	1	 
90	96	-15.993	90	0.8151	90.0	1	 
96	493	-328.321	96	0.854	96.0	1	 
218	249	-162.054	218	0.753	218.0	1	 
329	427	-18.011	329	0.929	329.0	1	 
278	488	-18.012	278	0.9517	278.0	1	 
325	386	408.343	325	0.9477	325.0	1	 
189	278	42.011	189	0.9092	189.0	1	N3:C2H2O
206	214	-30.010	206	0.9277	206.0	1	 
491	516	2.017	491	0.865	491.0	1	H2
12	82	326.338	12	0.8736	12.0	1	 
206	290	-15.996	206	0.8322	206.0	1	 
36	238	50.039	36	0.8454	36.0	1	 
491	515	-11.998	491	0.9235	491.0	1	 
206	218	15.995	206	0.8039	206.0	1	O
189	191	44.027	189	0.888	189.0	1	H2N3:C2H4O
278	427	-15.996	278	0.943	278.0	1	 
65	218	76.016	65	0.7321	65.0	1	C4H4O3:H2N3O2:C5H2N
427	516	-428.369	427	0.8573	427.0	1	 
16	63	46.005	16	0.8106	16.0	1	CH2O2
427	446	-18.011	427	0.8828	427.0	1	 
329	364	-34.042	329	0.9293	329.0	1	 
206	240	-162.054	206	0.7052	206.0	1	 
328	446	-15.996	328	0.8812	328.0	1	 
328	491	-428.371	328	0.9217	328.0	1	 
7	446	-1.981	7	0.8818	7.0	1	 
16	195	-86.038	16	0.8922	16.0	1	 
328	488	-0.002	328	0.953	328.0	1	 
499	515	-11.997	499	0.9601	499.0	1	 
328	499	-428.371	328	0.9415	328.0	1	 
45	199	-410.358	45	0.9369	45.0	1	 
249	263	132.043	249	0.7185	249.0	1	C5H8O4_D-Ribose (-H2O) (ribosylation):C16H30O_palmitoylation (-H2O):C5H8O4
45	427	-15.996	45	0.9175	45.0	1	 
79	510	164.049	79	0.7387	79.0	1	 
251	423	-548.267	251	0.7477	251.0	1	 
240	245	-362.178	240	0.8558	240.0	1	 
63	195	-132.043	63	0.7281	63.0	1	 
82	178	30.013	82	0.8956	82.0	1	CH2O
214	263	15.994	214	0.8334	214.0	1	O
96	113	-0.002	96	0.756	96.0	1	 
189	344	42.011	189	0.891	189.0	1	N3:C2H2O
189	427	26.016	189	0.8872	189.0	1	C2H2
278	329	2.016	278	0.9577	278.0	1	H2
7	469	-1.981	7	0.7072	7.0	1	 
82	263	172.221	82	0.7838	82.0	1	 
16	478	-188.181	16	0.7598	16.0	1	 
446	493	-444.367	446	0.9101	446.0	1	 
79	479	160.020	79	0.7782	79.0	1	 
63	263	-15.995	63	0.8204	63.0	1	 
113	263	174.199	113	0.7899	113.0	1	 
82	113	-1.978	82	0.7804	82.0	1	 
336	469	14.015	336	0.8903	336.0	1	methanol (-H2O):CH2
112	427	2.015	112	0.8398	112.0	1	H2
214	434	-15.996	214	0.7258	214.0	1	 
499	516	2.017	499	0.8839	499.0	1	H2
344	446	-34.007	344	0.895	344.0	1	 
189	329	44.027	189	0.8965	189.0	1	H2N3:C2H4O
189	386	44.026	189	0.9017	189.0	1	H2N3:C2H4O
45	189	-42.012	45	0.8835	45.0	1	 
199	278	410.358	199	0.9614	199.0	1	 
326	527	-458.381	326	0.8156	326.0	1	 
199	477	-0.000	199	0.9679	199.0	1	 
45	488	-18.012	45	0.9271	45.0	1	 
218	290	-31.990	218	0.7386	218.0	1	 
240	248	-14.016	240	0.9207	240.0	1	 
181	438	-424.376	181	0.7008	181.0	1	 
191	446	-36.022	191	0.9019	191.0	1	 
113	472	116.049	113	0.8202	113.0	1	 
240	274	96.066	240	0.8188	240.0	1	 
38	424	-88.083	38	0.7968	38.0	1	 
7	112	14.015	7	0.8489	7.0	1	methanol (-H2O):CH2
195	240	-31.990	195	0.8305	195.0	1	 
90	434	126.214	90	0.7419	90.0	1	 
90	263	158.205	90	0.842	90.0	1	 
329	446	-36.022	329	0.8914	329.0	1	 
191	344	-2.016	191	0.9396	191.0	1	 
328	364	-14.017	328	0.9288	328.0	1	 
29	187	60.023	29	0.753	29.0	1	H2N3O:C2H4O2
7	344	32.026	7	0.8299	7.0	1	CH4O
245	248	348.162	245	0.7801	245.0	1	 
195	249	-15.995	195	0.9001	195.0	1	 
112	328	0.000	112	0.8295	112.0	1	 
248	274	110.083	248	0.8143	248.0	1	 
90	113	-15.995	90	0.7816	90.0	1	 
7	178	-86.036	7	0.8315	7.0	1	 
438	466	150.069	438	0.9375	438.0	1	 
329	466	-408.345	329	0.9501	329.0	1	 
132	238	80.072	132	0.8619	132.0	1	 
29	82	60.020	29	0.7455	29.0	1	H2N3O:C2H4O2
344	427	-15.996	344	0.9319	344.0	1	 
195	251	-46.006	195	0.8794	195.0	1	 
82	214	156.227	82	0.7261	82.0	1	 
278	364	-32.027	278	0.9418	278.0	1	 
96	263	174.198	96	0.8028	96.0	1	 
218	263	-30.011	218	0.8506	218.0	1	 
325	438	-150.070	325	0.9318	325.0	1	 
65	249	-86.038	65	0.7106	65.0	1	 
488	515	-440.367	488	0.9451	488.0	1	 
79	427	162.034	79	0.7967	79.0	1	 
45	477	-410.359	45	0.9455	45.0	1	 
45	79	-178.030	45	0.7957	45.0	1	 
12	178	356.352	12	0.8252	12.0	1	 
79	328	160.019	79	0.7982	79.0	1	 
189	488	23.999	189	0.9118	189.0	1	C2
65	263	46.005	65	0.7564	65.0	1	CH2O2
278	477	-410.358	278	0.9725	278.0	1	 
90	214	142.211	90	0.7602	90.0	1	 
394	438	150.070	394	0.949	394.0	1	 
7	12	-442.388	7	0.9055	7.0	1	 
324	510	-27.996	324	0.7935	324.0	1	 
326	344	46.006	326	0.7563	326.0	1	CH2O2
325	466	-0.001	325	0.9575	325.0	1	 
7	472	-1.979	7	0.8251	7.0	1	 
290	434	-30.011	290	0.7477	290.0	1	 
45	278	-0.000	45	0.9423	45.0	1	 
325	329	408.343	325	0.9447	325.0	1	 
364	446	-1.980	364	0.8814	364.0	1	 
329	488	-20.027	329	0.9385	329.0	1	 
45	364	-32.027	45	0.9166	45.0	1	 
45	329	2.015	45	0.9403	45.0	1	H2
82	187	0.002	82	0.8327	82.0	1	 
491	499	-0.001	491	0.9417	491.0	1	 
7	82	-116.050	7	0.8885	7.0	1	 
36	434	-156.118	36	0.7544	36.0	1	 
493	512	0.006	493	0.859	493.0	1	 
112	472	-15.994	112	0.8012	112.0	1	 
488	499	-428.370	488	0.9673	488.0	1	 
16	251	-132.044	16	0.8329	16.0	1	 
38	132	-12.001	38	0.9249	38.0	1	 
472	493	-444.369	472	0.8811	472.0	1	 
240	433	34.007	240	0.7324	240.0	1	O2H2:H2O2
427	488	-2.016	427	0.9301	427.0	1	 
45	326	-46.006	45	0.7438	45.0	1	 
16	65	-15.995	16	0.8012	16.0	1	 
323	527	-2.015	323	0.8112	323.0	1	 
249	433	18.012	249	0.7048	249.0	1	H2O
38	238	68.071	38	0.8618	38.0	1	 
323	326	456.366	323	0.9062	323.0	1	 
364	488	14.015	364	0.9501	364.0	1	methanol (-H2O):CH2
479	499	-428.372	479	0.9083	479.0	1	 
240	249	15.995	240	0.9141	240.0	1	O
446	472	0.002	446	0.8817	446.0	1	 
82	90	14.016	82	0.8337	82.0	1	methanol (-H2O):CH2
82	96	-1.976	82	0.7903	82.0	1	 
112	499	-428.371	112	0.8579	112.0	1	 
96	214	158.204	96	0.7614	96.0	1	 
251	284	10.029	251	0.7429	251.0	1	 
488	491	-428.369	488	0.9409	488.0	1	 
112	191	20.026	112	0.8526	112.0	1	 
263	434	-31.991	263	0.7569	263.0	1	 
329	510	-15.996	329	0.8598	329.0	1	 
36	38	-18.033	36	0.917	36.0	1	 
36	132	-30.033	36	0.9159	36.0	1	 
79	278	178.029	79	0.814	79.0	1	 
113	512	-328.314	113	0.7279	113.0	1	 
