	Af-T	Af-L	Af-F	Af-B	Ah-L	Ahv-B	Ah-T	Ah-F	Ahv-F	Ahv-T	Ahv-L	Aj-B	Aj-L	Aj-T	Aj-F
Af-T	0.0	0.0218573962991766	0.026150896893847652	0.0023147988557870374	0.06171548001794118	0.05886122948310547	0.06683254452964431	0.04630041750593608	0.060592632639855676	0.0645676301872923	0.029658450304101965	0.07106932742882516	0.04103643385036801	0.05661449486104819	0.0795914136117689
Af-L	0.0218573962991766	0.0	0.04440622405839565	0.02017443862590507	0.034773983439156816	0.11042824678345774	0.10670476938575839	0.05813876129129747	0.10122846450126949	0.12704626604643474	0.024180654296874993	0.10948778252509762	0.04951025418704951	0.0838384030904915	0.08418307621153409
Af-F	0.026150896893847652	0.04440622405839565	0.0	0.015647397794884693	0.08705237343602557	0.08404507119825924	0.0925777812373256	0.016774652785145096	0.011529215046068473	0.09775612251935535	0.02625947426940855	0.07382457684293947	0.04170132599847844	0.09830207046489738	0.08691061744359088
Af-B	0.0023147988557870374	0.02017443862590507	0.015647397794884693	0.0	0.05280054038948924	0.06139298213510207	0.08790679881611806	0.034333726377534325	0.05626347604664091	0.07532859348554842	0.027169069987993975	0.05686629349771314	0.04061074838622779	0.05399984952781212	0.0896357764543512
Ah-L	0.06171548001794118	0.034773983439156816	0.08705237343602557	0.05280054038948924	0.0	0.01828936966412127	0.022934500699999992	0.08606395446872284	0.050557619440796904	0.021833929051718527	0.011099482981727903	0.029838707777304373	0.04874732977777165	0.01217660316174057	0.052990983980242184
Ahv-B	0.05886122948310547	0.11042824678345774	0.08404507119825924	0.06139298213510207	0.01828936966412127	0.0	0.007009687020886089	0.09806779490306423	0.06128578296075696	0.004685601725218612	0.05875758233595021	0.009591482085721158	0.1002718312881934	0.0180866969138007	0.05318197669607726
Ah-T	0.06683254452964431	0.10670476938575839	0.0925777812373256	0.08790679881611806	0.022934500699999992	0.007009687020886089	0.0	0.1483028558478254	0.0986151341299619	0.008371182356401151	0.06957456919318637	0.017726415698908943	0.12513841266524436	0.02308126537024864	0.06857258011452251
Ah-F	0.04630041750593608	0.05813876129129747	0.016774652785145096	0.034333726377534325	0.08606395446872284	0.09806779490306423	0.1483028558478254	0.0	0.030201852073629642	0.13703968928563204	0.03162680432518648	0.08260691540140298	0.03131255002000399	0.06512801243674607	0.05251590202128071
Ahv-F	0.060592632639855676	0.10122846450126949	0.011529215046068473	0.05626347604664091	0.050557619440796904	0.06128578296075696	0.0986151341299619	0.030201852073629642	0.0	0.08152444826761723	0.03594681044407739	0.07426074379015467	0.023851567387298277	0.04897073604750702	0.06484733705551926
Ahv-T	0.0645676301872923	0.12704626604643474	0.09775612251935535	0.07532859348554842	0.021833929051718527	0.004685601725218612	0.008371182356401151	0.13703968928563204	0.08152444826761723	0.0	0.040687881789223355	0.010524714683702736	0.08599369818310759	0.012608989261856997	0.05527014870637569
Ahv-L	0.029658450304101965	0.024180654296874993	0.02625947426940855	0.027169069987993975	0.011099482981727903	0.05875758233595021	0.06957456919318637	0.03162680432518648	0.03594681044407739	0.040687881789223355	0.0	0.06828008531802587	0.012368939378302128	0.03805697534350426	0.11293866402780288
Aj-B	0.07106932742882516	0.10948778252509762	0.07382457684293947	0.05686629349771314	0.029838707777304373	0.009591482085721158	0.017726415698908943	0.08260691540140298	0.07426074379015467	0.010524714683702736	0.06828008531802587	0.0	0.07301999071845705	0.01750908599155977	0.04444763232114352
Aj-L	0.04103643385036801	0.04951025418704951	0.04170132599847844	0.04061074838622779	0.04874732977777165	0.1002718312881934	0.12513841266524436	0.03131255002000399	0.023851567387298277	0.08599369818310759	0.012368939378302128	0.07301999071845705	0.0	0.02537440527980544	0.05380650977109847
Aj-T	0.05661449486104819	0.0838384030904915	0.09830207046489738	0.05399984952781212	0.01217660316174057	0.0180866969138007	0.02308126537024864	0.06512801243674607	0.04897073604750702	0.012608989261856997	0.03805697534350426	0.01750908599155977	0.02537440527980544	0.0	0.029838707777304373
Aj-F	0.0795914136117689	0.08418307621153409	0.08691061744359088	0.0896357764543512	0.052990983980242184	0.05318197669607726	0.06857258011452251	0.05251590202128071	0.06484733705551926	0.05527014870637569	0.11293866402780288	0.04444763232114352	0.05380650977109847	0.029838707777304373	0.0
