	Af.T	Af.L	Af.F	Af.B	Ah.L	Ahv.B	Ah.T	Ah.F	Ahv.F	Ahv.T	Ahv.L	Aj.B	Aj.L	Aj.T	Aj.F
Af.T	0	0.0218573962991766	0.0261508968938477	0.00231479885578704	0.0617154800179412	0.0588612294831055	0.0668325445296443	0.0463004175059361	0.0605926326398557	0.0645676301872923	0.029658450304102	0.0710693274288252	0.041036433850368	0.0566144948610482	0.0795914136117689
Af.L	0.0218573962991766	0	0.0444062240583957	0.0201744386259051	0.0347739834391568	0.110428246783458	0.106704769385758	0.0581387612912975	0.101228464501269	0.127046266046435	0.024180654296875	0.109487782525098	0.0495102541870495	0.0838384030904915	0.0841830762115341
Af.F	0.0261508968938477	0.0444062240583957	0	0.0156473977948847	0.0870523734360256	0.0840450711982592	0.0925777812373256	0.0167746527851451	0.0115292150460685	0.0977561225193554	0.0262594742694085	0.0738245768429395	0.0417013259984784	0.0983020704648974	0.0869106174435909
Af.B	0.00231479885578704	0.0201744386259051	0.0156473977948847	0	0.0528005403894892	0.0613929821351021	0.0879067988161181	0.0343337263775343	0.0562634760466409	0.0753285934855484	0.027169069987994	0.0568662934977131	0.0406107483862278	0.0539998495278121	0.0896357764543512
Ah.L	0.0617154800179412	0.0347739834391568	0.0870523734360256	0.0528005403894892	0	0.0182893696641213	0.0229345007	0.0860639544687228	0.0505576194407969	0.0218339290517185	0.0110994829817279	0.0298387077773044	0.0487473297777717	0.0121766031617406	0.0529909839802422
Ahv.B	0.0588612294831055	0.110428246783458	0.0840450711982592	0.0613929821351021	0.0182893696641213	0	0.00700968702088609	0.0980677949030642	0.061285782960757	0.00468560172521861	0.0587575823359502	0.00959148208572116	0.100271831288193	0.0180866969138007	0.0531819766960773
Ah.T	0.0668325445296443	0.106704769385758	0.0925777812373256	0.0879067988161181	0.0229345007	0.00700968702088609	0	0.148302855847825	0.0986151341299619	0.00837118235640115	0.0695745691931864	0.0177264156989089	0.125138412665244	0.0230812653702486	0.0685725801145225
Ah.F	0.0463004175059361	0.0581387612912975	0.0167746527851451	0.0343337263775343	0.0860639544687228	0.0980677949030642	0.148302855847825	0	0.0302018520736296	0.137039689285632	0.0316268043251865	0.082606915401403	0.031312550020004	0.0651280124367461	0.0525159020212807
Ahv.F	0.0605926326398557	0.101228464501269	0.0115292150460685	0.0562634760466409	0.0505576194407969	0.061285782960757	0.0986151341299619	0.0302018520736296	0	0.0815244482676172	0.0359468104440774	0.0742607437901547	0.0238515673872983	0.048970736047507	0.0648473370555193
Ahv.T	0.0645676301872923	0.127046266046435	0.0977561225193554	0.0753285934855484	0.0218339290517185	0.00468560172521861	0.00837118235640115	0.137039689285632	0.0815244482676172	0	0.0406878817892234	0.0105247146837027	0.0859936981831076	0.012608989261857	0.0552701487063757
Ahv.L	0.029658450304102	0.024180654296875	0.0262594742694085	0.027169069987994	0.0110994829817279	0.0587575823359502	0.0695745691931864	0.0316268043251865	0.0359468104440774	0.0406878817892234	0	0.0682800853180259	0.0123689393783021	0.0380569753435043	0.112938664027803
Aj.B	0.0710693274288252	0.109487782525098	0.0738245768429395	0.0568662934977131	0.0298387077773044	0.00959148208572116	0.0177264156989089	0.082606915401403	0.0742607437901547	0.0105247146837027	0.0682800853180259	0	0.0730199907184571	0.0175090859915598	0.0444476323211435
Aj.L	0.041036433850368	0.0495102541870495	0.0417013259984784	0.0406107483862278	0.0487473297777717	0.100271831288193	0.125138412665244	0.031312550020004	0.0238515673872983	0.0859936981831076	0.0123689393783021	0.0730199907184571	0	0.0253744052798054	0.0538065097710985
Aj.T	0.0566144948610482	0.0838384030904915	0.0983020704648974	0.0539998495278121	0.0121766031617406	0.0180866969138007	0.0230812653702486	0.0651280124367461	0.048970736047507	0.012608989261857	0.0380569753435043	0.0175090859915598	0.0253744052798054	0	0.0298387077773044
Aj.F	0.0795914136117689	0.0841830762115341	0.0869106174435909	0.0896357764543512	0.0529909839802422	0.0531819766960773	0.0685725801145225	0.0525159020212807	0.0648473370555193	0.0552701487063757	0.112938664027803	0.0444476323211435	0.0538065097710985	0.0298387077773044	0
