RT,BPI,TIC,Species,Parts
0.025,2000,28563,Alnus_firma,barks
0.039,1709,25573,Alnus_firma,barks
0.052,1662,24174,Alnus_firma,barks
0.066,2189,24475,Alnus_firma,barks
0.079,1702,23991,Alnus_firma,barks
0.092,1733,24439,Alnus_firma,barks
0.106,1838,25341,Alnus_firma,barks
0.125,1669,24532,Alnus_firma,barks
0.138,2000,25859,Alnus_firma,barks
0.152,1849,25071,Alnus_firma,barks
0.165,1619,26423,Alnus_firma,barks
0.179,1376,25342,Alnus_firma,barks
0.182,1455,25575,Alnus_firma,barks
0.186,2171,28376,Alnus_firma,barks
0.199,1431,24505,Alnus_firma,barks
0.202,1929,27583,Alnus_firma,barks
0.222,2275,28272,Alnus_firma,barks
0.235,1885,26430,Alnus_firma,barks
0.249,1816,25156,Alnus_firma,barks
0.262,1701,25121,Alnus_firma,barks
0.275,2019,26176,Alnus_firma,barks
0.289,934,24979,Alnus_firma,barks
0.292,1579,26600,Alnus_firma,barks
0.306,2153,25717,Alnus_firma,barks
0.325,1601,23050,Alnus_firma,barks
0.338,1889,23798,Alnus_firma,barks
0.352,1001,25062,Alnus_firma,barks
0.355,1751,27039,Alnus_firma,barks
0.369,1562,23647,Alnus_firma,barks
0.382,1568,25851,Alnus_firma,barks
0.395,2059,26467,Alnus_firma,barks
0.409,1901,26238,Alnus_firma,barks
0.428,1466,23374,Alnus_firma,barks
0.431,1619,26881,Alnus_firma,barks
0.445,1687,23739,Alnus_firma,barks
0.458,1421,25445,Alnus_firma,barks
0.462,1745,25865,Alnus_firma,barks
0.475,1270,24214,Alnus_firma,barks
0.479,1496,25840,Alnus_firma,barks
0.482,2151,26404,Alnus_firma,barks
0.495,1582,23840,Alnus_firma,barks
0.509,2111,26886,Alnus_firma,barks
0.528,1452,24223,Alnus_firma,barks
0.532,1903,26144,Alnus_firma,barks
0.545,1734,25571,Alnus_firma,barks
0.558,2037,24022,Alnus_firma,barks
0.572,1602,24638,Alnus_firma,barks
0.585,1471,24117,Alnus_firma,barks
0.589,1493,25389,Alnus_firma,barks
0.592,1602,26063,Alnus_firma,barks
0.605,1724,25996,Alnus_firma,barks
0.625,2079,26429,Alnus_firma,barks
0.638,1273,22895,Alnus_firma,barks
0.641,1702,28794,Alnus_firma,barks
0.655,2138,41917,Alnus_firma,barks
0.668,6922,109120,Alnus_firma,barks
0.702,4181,76883,Alnus_firma,barks
0.731,2237,175875,Alnus_firma,barks
0.765,12715,150542,Alnus_firma,barks
0.798,28154,387105,Alnus_firma,barks
0.838,58760,348304,Alnus_firma,barks
0.872,15220,233491,Alnus_firma,barks
0.911,4181,107072,Alnus_firma,barks
0.945,1671,68504,Alnus_firma,barks
0.958,1434,67089,Alnus_firma,barks
0.962,1198,70434,Alnus_firma,barks
0.965,1137,63515,Alnus_firma,barks
0.969,1148,63751,Alnus_firma,barks
0.972,1024,59319,Alnus_firma,barks
0.976,1179,61799,Alnus_firma,barks
0.979,1241,57476,Alnus_firma,barks
0.983,1088,57950,Alnus_firma,barks
0.986,1216,55691,Alnus_firma,barks
0.99,1613,55077,Alnus_firma,barks
1.009,1047,41082,Alnus_firma,barks
1.012,1077,43580,Alnus_firma,barks
1.016,1249,43012,Alnus_firma,barks
1.019,1338,44082,Alnus_firma,barks
1.023,1024,43673,Alnus_firma,barks
1.026,1042,43531,Alnus_firma,barks
1.03,1095,38810,Alnus_firma,barks
1.033,1149,40431,Alnus_firma,barks
1.037,1089,39591,Alnus_firma,barks
1.04,1045,37559,Alnus_firma,barks
1.043,1092,41146,Alnus_firma,barks
1.047,1083,38893,Alnus_firma,barks
1.05,1757,41522,Alnus_firma,barks
1.064,5512,97425,Alnus_firma,barks
1.097,7947,74732,Alnus_firma,barks
1.127,4034,59191,Alnus_firma,barks
1.15,3733,57385,Alnus_firma,barks
1.174,4564,55003,Alnus_firma,barks
1.187,3345,51716,Alnus_firma,barks
1.207,1978,51129,Alnus_firma,barks
1.22,2577,49851,Alnus_firma,barks
1.233,2057,46923,Alnus_firma,barks
1.247,1535,43866,Alnus_firma,barks
1.26,1285,42446,Alnus_firma,barks
1.264,1164,44887,Alnus_firma,barks
1.267,1136,42619,Alnus_firma,barks
1.271,1816,43363,Alnus_firma,barks
1.284,749,41141,Alnus_firma,barks
1.288,1053,41469,Alnus_firma,barks
1.291,1484,46574,Alnus_firma,barks
1.295,1424,41824,Alnus_firma,barks
1.298,978,43438,Alnus_firma,barks
1.307,1494,51176,Alnus_firma,barks
1.311,1855,46904,Alnus_firma,barks
1.324,1264,40158,Alnus_firma,barks
1.328,1527,46664,Alnus_firma,barks
1.341,1288,39947,Alnus_firma,barks
