row ID,row m/z,row retention time,Af-T,Af-L,Af-F,Af-B,Ah-L,Ahv-T,Ah-T,Ah-F,Ahv-F,Ahv-T,Ahv-L,Aj-B,Aj-L,Aj-T,Aj-F
BioactivityGlucosidase,NA,NA,7.47,12.29,6.8,8.48,100,100,69.55,100,7.33,100,29.84,100,23.36,100,100
1,521.2015,5.8094,94356.46559,1309.902808,2473.208147,165738.529,5294.440152,187542.9919,48039.90882,1133.142265,23826.38372,62358.31766,6208.370414,55591.92146,12169.41935,35885.26184,443.9682152
2,313.1421,7.1964,56500.42225,3480.599078,3442.19533,156224.9143,9836.52617,28637.06209,30208.92459,962.3373106,10211.38025,55928.916,4905.908239,22283.08425,7707.610286,21243.22235,2466.478297
3,191.0525,0.8311,84356.66516,89122.17053,11819.55489,74792.17662,164211.6796,11677.33633,34998.10277,593.1454111,148587.8241,90628.91442,128688.1654,11425.45916,116888.0003,92118.64791,173002.3475
4,485.3616,20.9064,87234.56531,945.145,21064.14375,32355.46857,453.6797168,2624.751558,42.9,56.42,423.395,40.75,1862.750638,2637.281714,829.6499207,736.3935535,2549.058406
5,377.0837,0.8187,56431.05059,20685.25007,6329.259898,17404.01768,19671.68204,14004.95733,29182.5387,13846.26453,7040.106182,14207.72173,9909.642141,6239.29673,8432.20784,8685.557409,1775.124723
6,183.0267,3.2085,31665.117,67687.18227,33395.56172,54163.82988,45148.89717,5256.47179,14845.90264,22368.50979,134800.606,7690.377819,102677.4912,18686.4929,65531.98438,63667.95164,6526.768188
7,533.3835,19.8615,68480.79422,21301.97408,9972.351621,26211.16553,47.75,0,0,43.42,2268.092292,154.8879016,998.2919171,912.390451,1114.181794,630.0692529,1036.990297
8,951.4056,5.8065,38392.3901,0,0,105594.0091,27.228,51460.25663,4190.374706,0,497.5650957,35875.90399,0,32838.62187,222.867,1576.920643,0
9,475.1955,5.8095,44416.92363,420.8366633,742.2921912,76302.20675,1571.245788,83444.47037,13774.25809,152.7086151,8660.093896,28446.01529,4554.105846,26657.04137,4948.624046,8278.044483,47.565
10,169.0112,1.5212,86664.39963,54303.56387,53816.882,71325.58779,6371.587188,520.0351504,4740.929422,11358.05372,79574.46524,3137.934626,96211.92837,1418.3975,49854.33023,9103.332895,1871.687114
