"shared name","IDs","cor"," p_value","Af-T","Af-L","Af-F","Af-B","Ah-L","Ahv-T","Ah-T","Ah-F","Ahv-F","Ahv-T.1","Ahv-L","Aj-B","Aj-L","Aj-T","Aj-F"
"","Bioactivity","0","0","  7.47"," 12.29","  6.80","  8.48","100.00","100.00"," 69.55","100.00","  7.33","100.00"," 29.84","100.00"," 23.36","100.00","100.00"
"1","521.2015_5.8094","-0.0990331837715462","0.725480406866948","0.0201424761","0.0003233320","0.0012981543","0.0400581859","0.0013620572","0.0304986352","0.0088079028","0.0005961348","0.0049279831","0.0114171990","0.0017811306","0.0121334623","0.0026759720","0.0057762358","0.0000804490"
"2","313.1421_7.1964","-0.277778860100569","0.316145713044248","0.0120613514","0.0008587308","0.0018065573","0.0377588059","0.0025303418","0.0046571570","0.0055387395","0.0005063553","0.0021121260","0.0102400572","0.0014075250","0.0048636245","0.0016949313","0.0034194600","0.0004461131"
"3","191.0525_0.8311","-0.227760719474164","0.41427118610819","0.0180078200","0.0219820852","0.0062019455","0.0180770332","0.0422376715","0.0018991455","0.0064167957","0.0003122984","0.0307311629","0.0165931862","0.0369139208","0.0024938878","0.0257009789","0.0148275350","0.0312785176"
"4","485.3616_20.9064","-0.548205564693836","0.0343590235349789","1.862216e-02","2.333651e-04","1.105235e-02","7.820352e-03","1.169496e-04","4.270030e-04","8.048701e-06","3.018145e-05","8.777344e-05","7.643895e-06","5.346087e-04","5.758196e-04","1.826392e-04","1.186905e-04","4.610434e-04"
"5","377.0837_0.8187","-0.277674101561888","0.316335831932352","0.0120465426","0.0051022300","0.0033213269","0.0042066816","0.0050600738","0.0022776660","0.0053505601","0.0072784844","0.0014562426","0.0026014365","0.0028428241","0.0013619792","0.0018542523","0.0013981842","0.0003211183"
"6","183.0267_3.2085","-0.64698928161494","0.00913411859020061","0.0067597620","0.0166951802","0.0175223294","0.0130912935","0.0116131503","0.0008549765","0.0027220566","0.0117579994","0.0278796884","0.0014081936","0.0294528734","0.0040786486","0.0144090705","0.0102481244","0.0011802021"
"7","533.3835_19.8615","-0.622613496677409","0.0131752063125508","1.461880e-02","5.254344e-03","5.232765e-03","6.335313e-03","1.253914e-05","1.626212e-07","1.833417e-07","2.334831e-05","4.692940e-04","2.854109e-05","2.866425e-04","1.993525e-04","2.452007e-04","1.015766e-04","1.876657e-04"
"8","951.4056_5.8065","-0.169975615104143","0.544757022540926","8.195832e-03","2.466484e-07","5.246747e-07","2.552164e-02","7.260615e-06","8.368693e-03","7.684538e-04","5.256262e-07","1.031133e-04","6.568605e-03","2.868456e-07","7.167429e-03","4.922278e-05","2.539814e-04","1.807972e-07"
"9","475.1955_5.8095","-0.123795786444844","0.660254693327031","9.481888e-03","1.040453e-04","3.899866e-04","1.844200e-02","4.044024e-04","1.357001e-02","2.525579e-03","8.079327e-05","1.791289e-03","5.208287e-03","1.306612e-03","5.818265e-03","1.088299e-03","1.332591e-03","8.780415e-06"
