cluster index	CF_componentindex	CF_NrNodes	CF_kingdom	CF_kingdom_score	CF_superclass	CF_superclass_score	CF_class	CF_class_score	CF_subclass	CF_subclass_score	CF_Dparent	CF_Dparent_score	CF_MFramework	CF_MFramework_score
1	22	6	Organic compounds	0.8333333333333334	Lipids and lipid-like molecules	0.1818783068783069	Prenol lipids	0.1164021164021164		0.26884920634920634	Hybrid peptides	0.08333333333333333	Aromatic heteropolycyclic compounds	0.548941798941799
8	22	6	Organic compounds	0.8333333333333334	Lipids and lipid-like molecules	0.1818783068783069	Prenol lipids	0.1164021164021164		0.26884920634920634	Hybrid peptides	0.08333333333333333	Aromatic heteropolycyclic compounds	0.548941798941799
9	22	6	Organic compounds	0.8333333333333334	Lipids and lipid-like molecules	0.1818783068783069	Prenol lipids	0.1164021164021164		0.26884920634920634	Hybrid peptides	0.08333333333333333	Aromatic heteropolycyclic compounds	0.548941798941799
179	22	6	Organic compounds	0.8333333333333334	Lipids and lipid-like molecules	0.1818783068783069	Prenol lipids	0.1164021164021164		0.26884920634920634	Hybrid peptides	0.08333333333333333	Aromatic heteropolycyclic compounds	0.548941798941799
219	22	6	Organic compounds	0.8333333333333334	Lipids and lipid-like molecules	0.1818783068783069	Prenol lipids	0.1164021164021164		0.26884920634920634	Hybrid peptides	0.08333333333333333	Aromatic heteropolycyclic compounds	0.548941798941799
264	22	6	Organic compounds	0.8333333333333334	Lipids and lipid-like molecules	0.1818783068783069	Prenol lipids	0.1164021164021164		0.26884920634920634	Hybrid peptides	0.08333333333333333	Aromatic heteropolycyclic compounds	0.548941798941799
2	S1	1	no matches		no matches		no matches		no matches		no matches		no matches	
3	S2	1	no matches		no matches		no matches		no matches		no matches		no matches	
4	24	5	Organic compounds	1.0	Lipids and lipid-like molecules	0.8	Prenol lipids	0.7083333333333333	Triterpenoids	0.6833333333333333	Triterpenoids	0.6833333333333333	Aliphatic homopolycyclic compounds	0.8
50	24	5	Organic compounds	1.0	Lipids and lipid-like molecules	0.8	Prenol lipids	0.7083333333333333	Triterpenoids	0.6833333333333333	Triterpenoids	0.6833333333333333	Aliphatic homopolycyclic compounds	0.8
244	24	5	Organic compounds	1.0	Lipids and lipid-like molecules	0.8	Prenol lipids	0.7083333333333333	Triterpenoids	0.6833333333333333	Triterpenoids	0.6833333333333333	Aliphatic homopolycyclic compounds	0.8
339	24	5	Organic compounds	1.0	Lipids and lipid-like molecules	0.8	Prenol lipids	0.7083333333333333	Triterpenoids	0.6833333333333333	Triterpenoids	0.6833333333333333	Aliphatic homopolycyclic compounds	0.8
529	24	5	Organic compounds	1.0	Lipids and lipid-like molecules	0.8	Prenol lipids	0.7083333333333333	Triterpenoids	0.6833333333333333	Triterpenoids	0.6833333333333333	Aliphatic homopolycyclic compounds	0.8
5	S3	1	no matches		no matches		no matches		no matches		no matches		no matches	
6	S4	1	no matches		no matches		no matches		no matches		no matches		no matches	
7	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
12	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
16	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
29	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
36	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
38	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
45	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
63	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
65	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
79	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
82	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
90	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
96	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
112	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
113	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
132	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
178	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
181	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
187	1	70	Organic compounds	0.8	Lipids and lipid-like molecules	0.522783446712018	Prenol lipids	0.35197845804988664	Triterpenoids	0.19715419501133788	Triterpenoids	0.1761451247165533	Aliphatic heteropolycyclic compounds	0.24446712018140593
