,InChIKey
0,InChIKey=QSNYIWOZCYUZHQ-UPFJJGCZSA-N
1,InChIKey=PVCSOVFCVIEUFH-IGCYBFCNSA-N
2,InChIKey=FKTQBZHKUPHHSC-LNVBJZNQSA-N
3,InChIKey=CHYPKLPGEPJTLQ-UGKYWTASSA-N
4,InChIKey=TZQIQTRLYFWZLN-CQSZACIVSA-N
5,InChIKey=XTLJBVRIPZDQND-UHFFFAOYSA-N
6,InChIKey=XURXXGUEOSCTBP-UHFFFAOYSA-N
7,InChIKey=GFQLRNSCHRAJRZ-KHDJYRJJSA-N
8,InChIKey=GRDCACHHHWBBND-SWGQDTFXSA-N
9,InChIKey=WTGNFAMNZASZTP-PPLKSJJRSA-N
10,InChIKey=XUXNHHRCNAWIND-WEHCWZINSA-N
11,InChIKey=HIKSFIPVFQONAS-UHFFFAOYSA-N
12,InChIKey=AJLFXJACAVYNCY-ZGMSZRMLSA-N
13,InChIKey=NQDGJMGPSRWLQX-JODBWMEMSA-N
14,InChIKey=WCFYXOLUODJLKB-IJVJVEAYSA-N
15,InChIKey=QMSYVUQCHPRXDG-WDJNEDGGSA-N
16,InChIKey=CAXMOGWWKWEUGI-UHFFFAOYSA-N
17,InChIKey=UMBZQAZPXJZODZ-UHFFFAOYSA-N
18,InChIKey=VKCQQELWYKVQKZ-QWJFALODSA-N
19,InChIKey=YCXUCEXEMJPDRZ-PDPJTJRCSA-N
20,InChIKey=XDRKWARTHILXIF-WZFHUACFSA-N
21,InChIKey=HVHGUXKTEHFFFP-UHFFFAOYSA-N
22,InChIKey=GUVPHHLUFIQDHV-MERHMCKJSA-N
23,InChIKey=HTFXGXDOSNTRNI-IAKNIYQESA-N
24,InChIKey=FQQJILVEMCMTND-STJIZVOHSA-N
25,InChIKey=NLOYJHDXNPMFKW-CLFYLIIVSA-N
26,InChIKey=NJMVODKHGFCBMG-FMJNFUIGSA-N
27,InChIKey=GZLTWCGHVQYMHT-VYIYSTOKSA-N
28,InChIKey=LSSPAQVPQKSBJV-FYDVJXCPSA-N
29,InChIKey=NQZFIPKTNPJJKW-PMWOFARSSA-L
30,InChIKey=KRIXKONSAFPFFK-FTBSFRQTSA-N
31,InChIKey=CLOMSPXFEZDKJY-VDZGKXGPSA-N
32,InChIKey=ACZCYYSLWBIJRH-DNQXCXABSA-N
33,InChIKey=JTQIWAWVJBFAKR-MOSHPQCFSA-N
34,InChIKey=MXZPVULUCINOMS-ZUCCPYBNSA-N
35,InChIKey=INSRYFYIORZBNR-CTCXMQKOSA-N
36,InChIKey=BZXSGMYHHGCPEN-VFQIYBBASA-N
37,InChIKey=JUPXAEVNLDWJAG-MJMBLBPLSA-N
38,InChIKey=XXWADLUHKWQSJW-GHMUSBDVSA-N
39,InChIKey=PNUZQCRJGABQPK-UHFFFAOYSA-O
40,InChIKey=USOMHLKHXOXGHZ-NVMNQCDNSA-N
41,InChIKey=LIICRHWRACTKSY-LPKFOLRYSA-N
42,InChIKey=KMBWCXAUPFWDKK-PTGBLXJZSA-N
43,InChIKey=HIMIJPBXDBKGHU-UHFFFAOYSA-N
44,InChIKey=KUZFMJRMZCRLJI-RMKNXTFCSA-N
45,InChIKey=LCZVLEFSLQLZPX-UHFFFAOYSA-N
46,InChIKey=BCXLPQSOXFZGRX-HPZJBWDDSA-N
47,InChIKey=XEUKKEGFRHPDSJ-YWRGORMUSA-N
48,InChIKey=HPDPYAHMPOJDTI-BEKQIUROSA-N
49,InChIKey=LWKTZNWGJCDICZ-JDJSMUMXSA-N
50,InChIKey=CMXFXKFVGJVYQB-UHFFFAOYSA-N
51,InChIKey=MOVXCFOJIQLFPC-ADEDPRHKSA-N
52,InChIKey=AAJADSVDRZFMIH-YKGHIASDSA-N
53,InChIKey=BEBILMUEQSTMNU-WRMYNCHHSA-N
54,InChIKey=SMJDRHBCYGUVLV-SDMCYCLRSA-N
55,InChIKey=RJWKWLMWSZQKER-UHFFFAOYSA-N
56,InChIKey=APJIFUZPDHNQGN-OELQVNMVSA-N
57,InChIKey=VRAJZIDBLDYEOU-NRNIAZNESA-N
58,InChIKey=NBPWTBNKNFAWAH-GIHCZOFBSA-N
59,InChIKey=RNJYSCPVCDSXEJ-UHFFFAOYSA-N
60,InChIKey=UPFPPGMSXLZFBF-UKPSDUFKSA-N
61,InChIKey=SXFLAOHLXVSXJB-ABHPHPLOSA-N
62,InChIKey=LSEDQFLRUJOXDX-SBOHWPTNSA-N
63,InChIKey=ZHUIRVBXBXMQPS-ZDLAQBPYSA-N
64,InChIKey=QMPQNBWWAJPVNY-UHFFFAOYSA-N
65,InChIKey=PGJBESOLVDUCPY-UHFFFAOYSA-N
66,InChIKey=GTZFQWLOIJEDDS-UKTHLTGXSA-N
67,InChIKey=MCCCCNNUPFVKQQ-UHFFFAOYSA-N
68,InChIKey=RXLLRXGUFZUAPE-UHFFFAOYSA-N
69,InChIKey=NXEXMBYHCDGQJJ-ROUMAOROSA-N
70,InChIKey=UYSGEBBKGQJGGS-VFBRRWPOSA-N
71,InChIKey=XLZQWHQXKOESII-KIMCNIAYSA-N
72,InChIKey=KEQDOJREOWPGDT-UHFFFAOYSA-N
73,InChIKey=KRUVSRGJKCHYMY-UHFFFAOYSA-P
74,InChIKey=MJFISQBJCXASCG-KUBLUVNXSA-N
75,InChIKey=XLXHKRNRAZZHCX-LUNJSMMOSA-N
