,SMILES
0,COc1ccc(cc1)S(=O)(=O)Oc1ccc2c(c1)O/C(=C\C=C\c1ccccc1)/C2=O
1,c1cc(c(cc1CCCC[C@H](CCc1ccc(c(c1)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O)O
2,[C@@]12([C@]3([C@@H]([C@@H]4[C@@](CC3)(CC[C@H]4C(=C)C)CO)CC[C@@H]1[C@@]1([C@@H](CC2)C([C@H](CC1)OC(=O)/C=C/c1ccc(cc1)O)(C)C)C)C)C
3,CCCCC[C@@H]1CC[C@H](C1)[C@@]1(CC[C@H]([C@]2([C@H]1[C@@H](C[C@H]([C@@]2(CCC1=CC(=O)OC1)O)C)OC(=O)C)C)O)C
4,Cc1csc(n1)CCNC(=O)CC[C@@H]1C(=O)Nc2ccccc2C(=O)N1
5,CC(=O)OC1CCC2(C)C(CCC3(C)C2C(C(=O)C2(C4CC(C)(C)CCC4(C)CCC32C)O)OC(=O)c2ccccc2)C1(C)C
6,C=C1COC2C1CCC1C2=CCC2C1(C)CCC(C2(C)COC1C23C4CCC5C(=C)C(=O)C4(C5O)C(C(C3C(C)(C)CCC2O)O)(O)O1)O
7,[C@@]12([C@]3([C@@H]([C@@]4([C@@H](CC3)[C@@]([C@H](C[C@@H]4O)OC(=O)C)(CO[C@H]3[C@@H]([C@@H]([C@H]([C@@H](O3)C)OC(=O)C)O)O)C)C)CC=C1[C@H]1[C@@](CC2)(CC[C@](C1)(C(=O)O)C)C)C)C
8,C/C(=C\Cc1c(ccc(C(=O)CCc2ccc(cc2O)O)c1O)O)/CO
9,c12c3c4c(c(cc3c(=O)oc2c(c(c(c1c(=O)o4)[C@H]([C@@H]([C@H]([C@H]1[C@H](OC(=O)c2cc(c(c(c2)O)O)O)COC(=O)c2c(c3c(C(=O)O1)cc(c(c3O)O)O)c(c(c(c2)O)O)O)O)O)O)O)O)O)O
10,[C@]12([C@@]([C@@H]3[C@@](CC2)([C@@H](C[C@H]3O)C(C)C)CO)(CC=C2[C@H]1[C@H](C[C@@H]1[C@@]2(C[C@H]([C@@H](C1(C)C)O[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O)O)C)O)C)C
11,C=C(C)C(CC(C(C)C1C(CC2(C)C3CCC4C(C)(CO)C(CCC54CC35CCC12C)O)O)O)O
12,C(=C\c1c(C(/C=C/NC(=O)c2ccc[nH]2)c2c[nH]c(=N)[nH]2)[nH]c(=N)[nH]1)/CNC(=O)c1ccc[nH]1
13,[C@@H]12[C@@]([C@H](C[C@H]2O)[C@@H](CC[C@H](CCO)CC)C)(C[C@H]([C@@H]2[C@H]1C(=O)C=C1[C@@]2(CC[C@@H](C1)OC(=O)CC)C)O)C
14,C/C=C/c1ccc(c(c1)OC)O[C@H](C)[C@@H](c1ccc(c(c1)OC)O)O
15,COc1ccccc1/C=C/C=C\1/C(=O)c2ccc(cc2O1)OS(=O)(=O)c1ccc(cc1)Cl
16,CC(=O)OC1CC(C)(C23C(C(CC(C2(C)C1OC(=O)c1ccccc1)OC(=O)c1ccccc1)C(C)(C)O3)OC(=O)c1ccccc1)O
17,c1c2c(c3c(cc(c(c3O)O)O)C(=O)OC3C(C(C(CO)OC3O)OC2=O)O)c(c(c1O)O)O
