CLUSTERID1	interact	CLUSTERID2	DeltaMZ	MEH	Cosine	OtherScore	ComponentIndex	SharedMotifs	topX
2	cosine	2	0	1	1	1	-1	motif_83	NA
3	cosine	3	0	1	1	1	-1	motif_57	NA
5	cosine	5	0	1	1	1	-1	motif_39	NA
6	cosine	6	0	1	1	1	-1	motif_63	NA
10	cosine	10	0	1	1	1	-1	motif_3,motif_77	NA
15	cosine	15	0	1	1	1	-1	motif_18	NA
18	cosine	18	0	1	1	1	-1	motif_10	NA
20	cosine	20	0	1	1	1	-1		NA
23	cosine	23	0	1	1	1	-1	motif_6	NA
25	cosine	25	0	1	1	1	-1	motif_44	NA
26	cosine	26	0	1	1	1	-1	motif_95	NA
27	cosine	27	0	1	1	1	-1	motif_79	NA
28	cosine	28	0	1	1	1	-1	motif_77,motif_99	NA
30	cosine	30	0	1	1	1	-1	motif_19,motif_39,motif_49	NA
31	cosine	31	0	1	1	1	-1	motif_38	NA
32	cosine	32	0	1	1	1	-1	motif_29,motif_84,motif_9	NA
33	cosine	33	0	1	1	1	-1		NA
35	cosine	35	0	1	1	1	-1	motif_39	NA
37	cosine	37	0	1	1	1	-1	motif_40	NA
40	cosine	40	0	1	1	1	-1	motif_57	NA
42	cosine	42	0	1	1	1	-1	motif_35	NA
43	cosine	43	0	1	1	1	-1	motif_7	NA
44	cosine	44	0	1	1	1	-1	motif_49	NA
46	cosine	46	0	1	1	1	-1	motif_15	NA
47	cosine	47	0	1	1	1	-1	motif_84,motif_91	NA
48	cosine	48	0	1	1	1	-1	motif_49	NA
49	cosine	49	0	1	1	1	-1	motif_47	NA
51	cosine	51	0	1	1	1	-1	motif_10	NA
53	cosine	53	0	1	1	1	-1	motif_0	NA
54	cosine	54	0	1	1	1	-1	motif_2,motif_29,motif_49	NA
55	cosine	55	0	1	1	1	-1	motif_21	NA
56	cosine	56	0	1	1	1	-1		NA
57	cosine	57	0	1	1	1	-1	motif_25	NA
58	cosine	58	0	1	1	1	-1	motif_68	NA
59	cosine	59	0	1	1	1	-1	motif_54	NA
60	cosine	60	0	1	1	1	-1	motif_18	NA
62	cosine	62	0	1	1	1	-1	motif_65	NA
66	cosine	66	0	1	1	1	-1	motif_48	NA
67	cosine	67	0	1	1	1	-1		NA
70	cosine	70	0	1	1	1	-1	motif_96	NA
73	cosine	73	0	1	1	1	-1	motif_43	NA
74	cosine	74	0	1	1	1	-1	motif_10	NA
75	cosine	75	0	1	1	1	-1	motif_32	NA
76	cosine	76	0	1	1	1	-1	motif_78	NA
78	cosine	78	0	1	1	1	-1	motif_49,motif_52	NA
80	cosine	80	0	1	1	1	-1	motif_39,motif_91	NA
86	cosine	86	0	1	1	1	-1	motif_49	NA
87	cosine	87	0	1	1	1	-1	motif_92	NA
88	cosine	88	0	1	1	1	-1	motif_78	NA
93	cosine	93	0	1	1	1	-1	motif_10,motif_52	NA
98	cosine	98	0	1	1	1	-1	motif_43	NA
99	cosine	99	0	1	1	1	-1	motif_46,motif_96	NA
100	cosine	100	0	1	1	1	-1	motif_80	NA
101	cosine	101	0	1	1	1	-1	motif_17	NA
103	cosine	103	0	1	1	1	-1	motif_59	NA
104	cosine	104	0	1	1	1	-1	motif_28	NA
